age,budget_per_person_daily,city_you_resided_in,travel_group_composition,types_of_attractions,places_visited_in_the_uae,season
46,178,Fujairah,3,Kids,Al Ain Zoo,Summer
56,1752,Ras Al Khaimah,2,Landmark,Sir Bani Yas Island,Winter
40,381,Abu Dhabi,9,Kids,Warner Bros World,Summer
51,199,Dubai,5,Historical,Sharjah Art Museum,Summer
37,49,Umm Al Qaiwain,7,Outdoor,Dubai Fountain,Winter
18,2406,Sharjah,5,Outdoor,Sir Bani Yas Island,Winter
19,795,Fujairah,10,Kids,Global Village,Winter
21,143,Sharjah,2,Kids,The Green Planet,Winter
72,149,Dubai,4,Historical,Al Bidya Mosque,Winter
40,196,Fujairah,7,Historical,Sheikh Zayed Grand Mosque,Winter
50,40,Abu Dhabi,5,Outdoor,Dubai Fountain,Summer
41,190,Fujairah,3,Landmark,Louvre Abu Dhabi,Winter
57,368,Umm Al Qaiwain,8,Landmark,Atlantis The Palm,Winter
32,95,Dubai,10,Landmark,Al Bidya Mosque,Winter
47,306,Umm Al Qaiwain,8,Historical,Wadi Adventure,Winter
47,536,Ajman,2,Kids,Ferrari World,Summer
54,254,Abu Dhabi,3,Historical,Liwa Oasis,Summer
46,133,Umm Al Qaiwain,2,Historical,Ajman Museum,Summer
95,82,Ras Al Khaimah,2,Shopping,Madinat Jumeirah,Summer
47,178,Ras Al Khaimah,10,Outdoor,Jumeirah Beach Residence,Winter
75,34,Ajman,6,Kids,Ras Al Khor Wildlife Sanctuary,Winter
44,61,Sharjah,8,Landmark,Dubai Museum at Al Fahidi Fort,Winter
28,488,Ajman,3,Kids,Yas Waterworld,Winter
31,125,Ajman,2,Shopping,Madinat Jumeirah,Winter
46,33,Ajman,5,Outdoor,Hatta Dam,Summer
7,332,Sharjah,10,Kids,Yas Waterworld,Winter
20,20,Dubai,1,Landmark,Dubai Fountain,Summer
14,121,Ras Al Khaimah,6,Kids,Sharjah Aquarium,Winter
12,108,Ras Al Khaimah,4,Historical,Al Ain Oasis,Summer
21,173,Dubai,1,Outdoor,Miracle Garden,Summer
42,585,Fujairah,2,Landmark,Louvre Abu Dhabi,Summer
21,248,Ras Al Khaimah,10,Historical,Sharjah Art Museum,Winter
32,57,Abu Dhabi,8,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
82,94,Dubai,1,Outdoor,Jebel Hafeet,Winter
41,4115,Fujairah,3,Outdoor,Sir Bani Yas Island,Summer
12,267,Ras Al Khaimah,4,Kids,OliOli,Winter
14,227,Sharjah,10,Landmark,Saadiyat Island,Winter
36,412,Fujairah,10,Kids,Warner Bros World,Summer
27,206,Dubai,8,Historical,Wadi Adventure,Summer
54,57,Ras Al Khaimah,2,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
66,583,Ajman,10,Outdoor,Sir Bani Yas Island,Summer
70,46,Ajman,5,Historical,Sharjah Museum of Islamic Civilization,Winter
58,90,Sharjah,8,Historical,Jumeirah Mosque,Summer
22,310,Fujairah,8,Kids,Ski Dubai,Winter
50,189,Fujairah,4,Outdoor,Hatta Heritage Village,Summer
25,97,Ajman,10,Historical,Ajman Museum,Summer
62,325,Dubai,9,Landmark,Louvre Abu Dhabi,Summer
29,53,Fujairah,5,Kids,Ras Al Khor Wildlife Sanctuary,Winter
18,327,Abu Dhabi,1,Historical,Wadi Adventure,Winter
27,70,Dubai,1,Historical,Al Noor Mosque,Winter
46,100,Ajman,2,Historical,Sheikh Zayed Grand Mosque,Summer
31,256,Sharjah,1,Kids,Ski Dubai,Summer
40,56,Ajman,5,Historical,Sharjah Museum of Islamic Civilization,Winter
89,76,Fujairah,5,Landmark,Ajman Beach,Summer
71,191,Fujairah,1,Landmark,Sheikh Zayed Grand Mosque,Winter
8,25,Sharjah,4,Kids,Childrens City,Summer
41,4066,Umm Al Qaiwain,10,Shopping,Dubai Mall,Winter
34,3201,Dubai,3,Shopping,Gold Souk,Winter
3,43,Sharjah,9,Landmark,Dubai Creek,Summer
56,144,Sharjah,7,Historical,Al Bidya Mosque,Winter
69,149,Sharjah,5,Kids,Miracle Garden,Winter
4,456,Abu Dhabi,4,Kids,Kidzania,Summer
36,109,Fujairah,9,Landmark,Jebel Jais,Summer
4,1067,Ras Al Khaimah,7,Kids,Atlantis The Palm,Summer
84,128,Ajman,4,Shopping,Madinat Jumeirah,Summer
7,127,Ras Al Khaimah,4,Kids,Bounce Dubai,Summer
2,61,Abu Dhabi,9,Landmark,Ajman Beach,Winter
53,116,Ajman,8,Historical,Qasr Al Watan,Winter
25,230,Umm Al Qaiwain,1,Historical,Liwa Oasis,Winter
32,246,Ras Al Khaimah,2,Outdoor,Al Ain Zoo,Summer
74,10,Abu Dhabi,9,Landmark,Hatta Dam,Winter
12,33,Ras Al Khaimah,3,Kids,Childrens City,Summer
96,5146,Ajman,2,Shopping,Gold Souk,Summer
31,101,Fujairah,9,Historical,Al Bidya Mosque,Winter
23,257,Fujairah,6,Kids,Dreamland Aqua Park,Winter
61,82,Abu Dhabi,6,Historical,Sheikh Zayed Grand Mosque,Summer
9,33,Fujairah,9,Kids,Childrens City,Winter
15,107,Abu Dhabi,10,Kids,Sharjah Aquarium,Winter
30,2953,Ajman,9,Landmark,Burj Al Arab,Winter
59,235,Fujairah,4,Outdoor,Jumeirah Beach Residence,Winter
60,161,Fujairah,4,Outdoor,Dubai Fountain,Summer
82,75,Abu Dhabi,8,Landmark,Jebel Hafeet,Winter
61,256,Dubai,9,Landmark,Dubai Museum at Al Fahidi Fort,Winter
24,58,Fujairah,2,Outdoor,Saadiyat Island,Summer
51,100,Abu Dhabi,7,Historical,Sheikh Zayed Grand Mosque,Winter
19,137,Ras Al Khaimah,6,Kids,Miracle Garden,Summer
22,94,Sharjah,9,Historical,Qasr Al Hosn,Summer
27,307,Dubai,1,Historical,Wadi Adventure,Winter
59,3365,Ajman,3,Shopping,Global Village,Winter
45,110,Umm Al Qaiwain,6,Kids,Sharjah Aquarium,Winter
46,212,Fujairah,10,Landmark,Dubai Frame,Summer
11,602,Abu Dhabi,8,Kids,Ferrari World,Winter
53,112,Ras Al Khaimah,3,Historical,Sharjah Art Museum,Winter
35,210,Ajman,1,Landmark,Dubai Frame,Summer
78,102,Umm Al Qaiwain,7,Historical,Ajman Museum,Winter
29,738,Sharjah,3,Kids,Yas Waterworld,Summer
27,323,Dubai,1,Kids,IMG Worlds of Adventure,Summer
8,172,Ras Al Khaimah,1,Kids,The Green Planet,Winter
22,129,Abu Dhabi,6,Outdoor,Saadiyat Island,Winter
96,38,Dubai,6,Kids,Ras Al Khor Wildlife Sanctuary,Winter
19,1555,Sharjah,3,Historical,Emirates Palace,Winter
57,21,Abu Dhabi,7,Outdoor,Al Qudra Lakes,Winter
35,84,Abu Dhabi,6,Outdoor,Dubai Fountain,Summer
36,414,Umm Al Qaiwain,1,Shopping,Mall of the Emirates,Summer
29,337,Umm Al Qaiwain,4,Historical,Wadi Adventure,Winter
43,1194,Ras Al Khaimah,9,Historical,Burj Al Arab,Summer
44,113,Fujairah,5,Historical,Qasr Al Hosn,Summer
24,450,Umm Al Qaiwain,5,Kids,Warner Bros World,Winter
16,180,Abu Dhabi,2,Kids,The Green Planet,Winter
50,69,Fujairah,7,Historical,Qasr Al Hosn,Winter
53,177,Ajman,9,Historical,Sharjah Art Museum,Winter
12,110,Umm Al Qaiwain,6,Kids,Butterfly Garden,Winter
30,399,Sharjah,10,Historical,Wadi Adventure,Summer
74,2709,Ajman,2,Shopping,Mall of the Emirates,Summer
61,968,Dubai,6,Outdoor,Global Village,Summer
29,1737,Fujairah,3,Shopping,Gold Souk,Summer
43,226,Umm Al Qaiwain,10,Kids,Dreamland Aqua Park,Summer
15,2732,Sharjah,6,Landmark,Sir Bani Yas Island,Summer
18,250,Ajman,1,Outdoor,Al Ain Zoo,Summer
16,3297,Abu Dhabi,9,Shopping,Global Village,Winter
32,189,Sharjah,3,Historical,Dubai Museum at Al Fahidi Fort,Summer
85,2742,Dubai,10,Shopping,Dubai Mall,Summer
32,755,Sharjah,5,Landmark,Emirates Palace,Winter
68,284,Ajman,8,Historical,Liwa Oasis,Summer
60,71,Ajman,5,Historical,Sharjah Museum of Islamic Civilization,Winter
12,176,Umm Al Qaiwain,3,Kids,OliOli,Winter
59,37,Ajman,7,Historical,Sharjah Museum of Islamic Civilization,Winter
8,528,Ras Al Khaimah,6,Landmark,Burj Khalifa,Winter
54,42,Ajman,6,Landmark,Jebel Jais,Summer
0,4532,Fujairah,8,Shopping,Yas Mall,Winter
71,121,Dubai,10,Landmark,Dubai Museum at Al Fahidi Fort,Winter
6,142,Ras Al Khaimah,7,Outdoor,Hatta Dam,Summer
25,31,Abu Dhabi,4,Landmark,Jebel Hafeet,Summer
61,988,Dubai,2,Shopping,Dubai Mall,Summer
36,179,Umm Al Qaiwain,3,Kids,Al Ain Zoo,Winter
50,713,Sharjah,8,Kids,Atlantis The Palm,Winter
34,160,Abu Dhabi,9,Kids,The Green Planet,Summer
30,61,Umm Al Qaiwain,8,Landmark,Jebel Hafeet,Summer
14,719,Sharjah,3,Kids,Yas Waterworld,Winter
36,130,Sharjah,8,Kids,Bounce Dubai,Summer
57,58,Ras Al Khaimah,4,Historical,Al Jazirah Al Hamra,Winter
16,2723,Fujairah,6,Shopping,Yas Mall,Winter
41,194,Umm Al Qaiwain,6,Historical,Liwa Oasis,Winter
36,206,Sharjah,7,Landmark,Dubai Frame,Winter
23,108,Dubai,1,Historical,Jumeirah Mosque,Summer
42,187,Dubai,7,Landmark,Jebel Jais,Winter
12,200,Fujairah,10,Kids,The Green Planet,Winter
38,343,Abu Dhabi,4,Kids,Dreamland Aqua Park,Winter
26,3599,Fujairah,7,Shopping,Yas Mall,Winter
64,121,Abu Dhabi,1,Landmark,Dubai Frame,Summer
8,255,Abu Dhabi,3,Kids,Dreamland Aqua Park,Winter
21,142,Fujairah,5,Kids,Bounce Dubai,Summer
6,166,Fujairah,9,Historical,Al Bidya Mosque,Summer
70,56,Ajman,2,Landmark,Jumeirah Beach Residence,Winter
78,173,Umm Al Qaiwain,9,Landmark,Burj Khalifa,Winter
40,502,Fujairah,2,Kids,Yas Waterworld,Summer
32,3982,Umm Al Qaiwain,8,Outdoor,Sir Bani Yas Island,Summer
55,58,Ajman,3,Landmark,Jebel Hafeet,Winter
23,1389,Umm Al Qaiwain,3,Landmark,Emirates Palace,Winter
46,113,Umm Al Qaiwain,2,Historical,Sharjah Museum of Islamic Civilization,Summer
49,87,Umm Al Qaiwain,7,Landmark,Jumeirah Beach Residence,Summer
75,170,Sharjah,7,Historical,Sheikh Zayed Grand Mosque,Summer
99,942,Fujairah,4,Shopping,Mall of the Emirates,Winter
37,5151,Abu Dhabi,2,Shopping,Gold Souk,Summer
5,169,Ras Al Khaimah,10,Kids,OliOli,Winter
6,122,Fujairah,8,Kids,Butterfly Garden,Summer
19,200,Dubai,10,Landmark,Al Bidya Mosque,Winter
78,206,Abu Dhabi,6,Outdoor,Global Village,Summer
13,3096,Abu Dhabi,10,Shopping,Mall of the Emirates,Winter
63,23,Abu Dhabi,5,Outdoor,Al Ain Oasis,Summer
55,135,Ajman,5,Landmark,Qasr Al Watan,Summer
46,198,Fujairah,7,Landmark,Jumeirah Beach Residence,Summer
15,501,Ajman,4,Historical,Liwa Oasis,Winter
8,364,Abu Dhabi,2,Kids,Kidzania,Winter
44,663,Dubai,3,Kids,Yas Waterworld,Winter
3,159,Abu Dhabi,8,Kids,The Green Planet,Winter
8,263,Ras Al Khaimah,7,Kids,OliOli,Winter
47,50,Dubai,5,Outdoor,Hatta Dam,Summer
57,24,Sharjah,5,Historical,Dubai Museum at Al Fahidi Fort,Winter
49,117,Umm Al Qaiwain,9,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
31,1624,Abu Dhabi,8,Shopping,Mall of the Emirates,Summer
45,347,Dubai,6,Kids,Ski Dubai,Summer
43,122,Ras Al Khaimah,10,Historical,Qasr Al Hosn,Summer
41,1709,Umm Al Qaiwain,4,Landmark,Sir Bani Yas Island,Winter
57,89,Umm Al Qaiwain,3,Landmark,Dubai Fountain,Winter
35,42,Fujairah,4,Historical,Al Noor Mosque,Summer
22,26,Umm Al Qaiwain,7,Outdoor,Ras Al Khor Wildlife Sanctuary,Winter
14,403,Sharjah,3,Kids,Legoland Dubai,Summer
29,130,Ras Al Khaimah,3,Historical,Qasr Al Watan,Winter
77,160,Fujairah,2,Kids,Global Village,Summer
39,373,Fujairah,6,Kids,Warner Bros World,Winter
77,176,Dubai,8,Landmark,Jumeirah Beach Residence,Winter
15,386,Abu Dhabi,5,Kids,Warner Bros World,Winter
4,432,Umm Al Qaiwain,8,Kids,Kidzania,Winter
73,269,Fujairah,8,Landmark,Madinat Jumeirah,Summer
20,387,Umm Al Qaiwain,3,Outdoor,Liwa Oasis,Summer
51,2822,Dubai,4,Historical,Burj Al Arab,Winter
28,149,Abu Dhabi,8,Landmark,Dubai Frame,Winter
97,1997,Umm Al Qaiwain,3,Shopping,Yas Mall,Summer
20,86,Ajman,5,Outdoor,Liwa Oasis,Summer
20,3126,Ras Al Khaimah,10,Outdoor,Sir Bani Yas Island,Winter
36,502,Abu Dhabi,6,Kids,Yas Waterworld,Winter
16,149,Ajman,10,Kids,Butterfly Garden,Winter
36,1039,Ras Al Khaimah,3,Shopping,Gold Souk,Winter
73,318,Sharjah,5,Historical,Liwa Oasis,Winter
36,117,Dubai,1,Kids,Sharjah Aquarium,Summer
19,283,Dubai,7,Landmark,Emirates Palace,Summer
6,149,Ras Al Khaimah,2,Outdoor,Al Ain Oasis,Summer
47,70,Ras Al Khaimah,3,Historical,Jumeirah Mosque,Summer
41,375,Fujairah,5,Kids,Ferrari World,Winter
11,275,Dubai,3,Outdoor,Al Ain Zoo,Summer
25,3625,Fujairah,1,Shopping,Yas Mall,Summer
40,59,Dubai,2,Historical,Sharjah Museum of Islamic Civilization,Summer
72,18,Dubai,8,Landmark,Hatta Heritage Village,Summer
38,2161,Abu Dhabi,2,Shopping,Mall of the Emirates,Summer
30,208,Umm Al Qaiwain,7,Historical,Al Ain Oasis,Summer
73,129,Umm Al Qaiwain,7,Landmark,Qasr Al Watan,Winter
91,1866,Umm Al Qaiwain,4,Shopping,Mall of the Emirates,Summer
5,62,Dubai,5,Shopping,Madinat Jumeirah,Winter
79,58,Sharjah,8,Outdoor,Ras Al Khor Wildlife Sanctuary,Summer
2,56,Abu Dhabi,4,Kids,Childrens City,Summer
71,64,Fujairah,4,Historical,Jumeirah Mosque,Summer
43,3122,Dubai,2,Outdoor,Global Village,Winter
34,746,Ras Al Khaimah,7,Landmark,Burj Khalifa,Winter
47,182,Ajman,1,Outdoor,Al Qudra Lakes,Summer
10,5582,Dubai,7,Shopping,Gold Souk,Summer
39,277,Ras Al Khaimah,7,Kids,Ski Dubai,Summer
18,433,Umm Al Qaiwain,4,Kids,Warner Bros World,Summer
29,331,Umm Al Qaiwain,5,Landmark,Burj Khalifa,Summer
53,2415,Dubai,3,Outdoor,Sir Bani Yas Island,Winter
13,183,Ras Al Khaimah,4,Landmark,Hatta Dam,Winter
5,55,Umm Al Qaiwain,8,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
52,45,Ras Al Khaimah,2,Landmark,Al Noor Mosque,Winter
43,141,Sharjah,6,Historical,Sheikh Zayed Grand Mosque,Summer
37,410,Sharjah,3,Historical,Wadi Adventure,Winter
72,205,Ajman,3,Historical,Sharjah Art Museum,Summer
52,208,Ajman,4,Shopping,Global Village,Winter
69,3412,Ajman,1,Historical,Burj Al Arab,Winter
44,390,Fujairah,9,Kids,Wadi Adventure,Summer
18,168,Sharjah,10,Historical,Dubai Museum at Al Fahidi Fort,Summer
88,10,Sharjah,7,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
65,2068,Ajman,6,Landmark,Burj Al Arab,Winter
43,2891,Abu Dhabi,6,Historical,Burj Al Arab,Summer
13,122,Ras Al Khaimah,9,Kids,Bounce Dubai,Winter
8,458,Umm Al Qaiwain,7,Kids,Legoland Dubai,Winter
30,510,Fujairah,3,Historical,The Dubai Opera,Winter
37,26,Abu Dhabi,5,Outdoor,Jebel Hafeet,Winter
38,125,Dubai,9,Landmark,Jebel Jais,Winter
20,62,Sharjah,3,Outdoor,Ras Al Khor Wildlife Sanctuary,Summer
22,582,Abu Dhabi,7,Historical,Emirates Palace,Summer
97,124,Ras Al Khaimah,2,Landmark,Jebel Hafeet,Winter
20,102,Umm Al Qaiwain,6,Landmark,Dubai Fountain,Summer
76,73,Ras Al Khaimah,5,Landmark,Qasr Al Hosn,Winter
53,50,Abu Dhabi,8,Outdoor,Ras Al Khor Wildlife Sanctuary,Summer
12,179,Umm Al Qaiwain,4,Kids,Miracle Garden,Summer
31,200,Sharjah,6,Outdoor,Al Qudra Lakes,Winter
69,558,Abu Dhabi,9,Historical,The Dubai Opera,Summer
72,187,Ajman,4,Landmark,Hatta Dam,Winter
84,65,Ajman,2,Landmark,Jebel Hafeet,Winter
5,229,Ajman,4,Kids,Kidzania,Summer
8,462,Fujairah,7,Kids,Legoland Dubai,Summer
20,457,Ras Al Khaimah,3,Kids,Ferrari World,Winter
60,363,Abu Dhabi,6,Landmark,Louvre Abu Dhabi,Winter
99,31,Dubai,2,Landmark,Dubai Creek,Winter
13,1949,Fujairah,7,Shopping,Gold Souk,Summer
3,117,Ras Al Khaimah,8,Outdoor,Al Ain Zoo,Summer
18,807,Sharjah,8,Shopping,Mall of the Emirates,Winter
69,150,Umm Al Qaiwain,5,Kids,Butterfly Garden,Winter
14,35,Dubai,9,Kids,Childrens City,Summer
76,160,Dubai,1,Landmark,Al Bidya Mosque,Summer
73,98,Sharjah,9,Landmark,Jebel Hafeet,Summer
27,102,Sharjah,7,Historical,Ajman Museum,Summer
23,36,Abu Dhabi,5,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
49,2480,Umm Al Qaiwain,9,Outdoor,Global Village,Summer
20,43,Ras Al Khaimah,7,Outdoor,Al Qudra Lakes,Summer
58,74,Sharjah,4,Kids,Miracle Garden,Winter
79,555,Ajman,2,Historical,The Dubai Opera,Summer
20,360,Dubai,10,Kids,IMG Worlds of Adventure,Summer
21,65,Ras Al Khaimah,7,Landmark,Jebel Hafeet,Winter
23,2463,Fujairah,9,Outdoor,Global Village,Winter
49,49,Umm Al Qaiwain,5,Shopping,Dubai Mall,Winter
84,43,Umm Al Qaiwain,10,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
22,167,Fujairah,10,Kids,Bounce Dubai,Winter
78,385,Abu Dhabi,7,Historical,Liwa Oasis,Winter
30,165,Umm Al Qaiwain,9,Kids,The Green Planet,Winter
28,131,Dubai,8,Kids,Miracle Garden,Summer
6,411,Umm Al Qaiwain,10,Kids,Legoland Dubai,Winter
54,3442,Dubai,1,Historical,Burj Al Arab,Winter
56,89,Fujairah,8,Historical,Fujairah Fort,Summer
70,108,Fujairah,10,Outdoor,Al Ain Oasis,Summer
22,442,Sharjah,10,Kids,Warner Bros World,Summer
24,103,Umm Al Qaiwain,7,Outdoor,Wadi Shawka,Winter
68,71,Ras Al Khaimah,9,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
28,73,Sharjah,10,Kids,Sharjah Aquarium,Summer
27,616,Ajman,2,Kids,Ferrari World,Winter
54,220,Umm Al Qaiwain,8,Shopping,Mall of the Emirates,Summer
5,371,Fujairah,4,Kids,Dreamland Aqua Park,Winter
59,3805,Umm Al Qaiwain,4,Historical,Burj Al Arab,Summer
54,181,Umm Al Qaiwain,9,Landmark,Hatta Heritage Village,Summer
29,34,Dubai,3,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
1,220,Umm Al Qaiwain,8,Outdoor,Al Qudra Lakes,Winter
54,3724,Dubai,10,Landmark,Burj Al Arab,Summer
62,563,Sharjah,10,Historical,Liwa Oasis,Summer
44,410,Ajman,3,Outdoor,Global Village,Winter
84,73,Ajman,3,Outdoor,Jebel Hafeet,Winter
59,1032,Abu Dhabi,8,Historical,Burj Al Arab,Summer
33,349,Ajman,6,Kids,Ski Dubai,Summer
35,63,Fujairah,6,Historical,Umm Al Quwain Fort and Museum,Summer
8,55,Ajman,7,Historical,Jumeirah Mosque,Winter
54,96,Abu Dhabi,8,Historical,Liwa Oasis,Summer
13,421,Fujairah,8,Kids,Legoland Dubai,Summer
43,222,Ras Al Khaimah,9,Kids,Al Ain Zoo,Summer
44,71,Dubai,2,Landmark,Jumeirah Mosque,Summer
35,131,Ajman,8,Landmark,Qasr Al Watan,Winter
10,26,Fujairah,8,Landmark,Wadi Shawka,Winter
6,99,Fujairah,5,Historical,Jumeirah Mosque,Summer
19,617,Ras Al Khaimah,10,Landmark,Burj Khalifa,Summer
44,106,Dubai,9,Outdoor,Jebel Hafeet,Summer
92,1335,Ras Al Khaimah,3,Shopping,Gold Souk,Winter
28,40,Ajman,10,Historical,Umm Al Quwain Fort and Museum,Winter
53,53,Sharjah,6,Outdoor,Saadiyat Island,Winter
6,57,Sharjah,2,Kids,Childrens City,Winter
60,652,Dubai,8,Historical,The Dubai Opera,Summer
45,17,Fujairah,2,Historical,Al Ain Oasis,Winter
64,239,Fujairah,5,Shopping,Mall of the Emirates,Summer
29,101,Sharjah,8,Kids,Sharjah Aquarium,Summer
50,402,Fujairah,6,Historical,Liwa Oasis,Winter
26,107,Ajman,1,Kids,Sharjah Aquarium,Winter
15,131,Ras Al Khaimah,10,Historical,Al Ain Oasis,Summer
76,48,Abu Dhabi,10,Outdoor,Jebel Hafeet,Winter
30,96,Sharjah,3,Kids,Butterfly Garden,Summer
53,25,Fujairah,6,Historical,Dubai Museum at Al Fahidi Fort,Winter
65,34,Abu Dhabi,10,Landmark,Dubai Museum at Al Fahidi Fort,Winter
50,27,Ajman,2,Outdoor,Saadiyat Island,Winter
73,548,Fujairah,5,Historical,The Dubai Opera,Winter
32,1244,Sharjah,6,Historical,Emirates Palace,Winter
61,53,Fujairah,4,Landmark,Jumeirah Mosque,Winter
7,201,Dubai,2,Kids,OliOli,Summer
72,1641,Ras Al Khaimah,2,Shopping,Yas Mall,Summer
53,1853,Umm Al Qaiwain,4,Landmark,Burj Al Arab,Winter
10,387,Ajman,4,Kids,Kidzania,Summer
29,180,Sharjah,3,Landmark,Louvre Abu Dhabi,Summer
10,67,Umm Al Qaiwain,10,Kids,Childrens City,Summer
6,162,Umm Al Qaiwain,8,Kids,OliOli,Summer
89,32,Dubai,5,Outdoor,Hatta Heritage Village,Winter
43,473,Sharjah,6,Kids,Ferrari World,Winter
17,2463,Dubai,3,Shopping,Gold Souk,Summer
86,204,Umm Al Qaiwain,9,Landmark,Jumeirah Beach Residence,Summer
16,390,Dubai,10,Kids,Warner Bros World,Summer
80,78,Ajman,2,Outdoor,Jebel Hafeet,Summer
11,249,Fujairah,3,Kids,Dreamland Aqua Park,Winter
49,233,Ras Al Khaimah,5,Landmark,Dubai Frame,Summer
17,18,Dubai,4,Outdoor,Ras Al Khor Wildlife Sanctuary,Summer
75,118,Fujairah,7,Landmark,Dubai Museum at Al Fahidi Fort,Summer
22,106,Ajman,4,Kids,Bounce Dubai,Winter
69,179,Abu Dhabi,1,Outdoor,Miracle Garden,Summer
40,1870,Fujairah,10,Historical,Burj Al Arab,Winter
62,44,Sharjah,3,Historical,Umm Al Quwain Fort and Museum,Summer
76,168,Ajman,4,Landmark,Qasr Al Watan,Winter
17,183,Fujairah,1,Landmark,Dubai Fountain,Winter
63,52,Fujairah,9,Landmark,Jebel Hafeet,Winter
62,69,Fujairah,3,Historical,Qasr Al Hosn,Summer
4,483,Dubai,9,Kids,Legoland Dubai,Winter
29,512,Dubai,9,Kids,Ferrari World,Summer
31,557,Sharjah,6,Shopping,Yas Mall,Winter
56,126,Sharjah,5,Historical,Liwa Oasis,Winter
75,1901,Fujairah,5,Kids,Global Village,Winter
69,56,Ras Al Khaimah,10,Outdoor,Liwa Oasis,Summer
11,259,Ajman,8,Kids,OliOli,Summer
9,3090,Dubai,8,Shopping,Mall of the Emirates,Summer
23,312,Abu Dhabi,8,Historical,Wadi Adventure,Summer
66,40,Fujairah,5,Landmark,Dubai Creek,Summer
23,691,Ras Al Khaimah,10,Kids,Ferrari World,Winter
76,25,Dubai,5,Landmark,Hatta Dam,Winter
60,20,Abu Dhabi,7,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
29,421,Abu Dhabi,9,Kids,Ferrari World,Winter
44,42,Abu Dhabi,3,Landmark,Hatta Heritage Village,Winter
63,84,Dubai,2,Historical,Sheikh Zayed Grand Mosque,Summer
47,131,Ajman,9,Kids,Bounce Dubai,Winter
66,83,Umm Al Qaiwain,8,Historical,Sharjah Museum of Islamic Civilization,Summer
16,128,Ras Al Khaimah,2,Landmark,Jebel Jais,Winter
3,227,Abu Dhabi,3,Outdoor,Al Ain Zoo,Winter
39,67,Abu Dhabi,10,Landmark,Fujairah Fort,Winter
12,246,Fujairah,10,Kids,OliOli,Winter
39,270,Dubai,2,Historical,The Dubai Opera,Winter
46,1982,Umm Al Qaiwain,10,Shopping,Yas Mall,Winter
34,122,Ajman,2,Outdoor,Jebel Jais,Winter
12,164,Umm Al Qaiwain,8,Outdoor,Miracle Garden,Summer
33,86,Ras Al Khaimah,9,Historical,Al Jazirah Al Hamra,Winter
41,143,Dubai,5,Landmark,Qasr Al Hosn,Winter
72,116,Sharjah,10,Historical,Liwa Oasis,Summer
3,35,Ras Al Khaimah,10,Kids,Childrens City,Winter
31,393,Fujairah,9,Kids,Wadi Adventure,Summer
68,20,Fujairah,10,Landmark,Dubai Creek,Winter
59,242,Sharjah,5,Historical,Sharjah Art Museum,Summer
33,314,Ajman,3,Landmark,Emirates Palace,Summer
34,506,Ras Al Khaimah,1,Kids,Ferrari World,Summer
64,21,Fujairah,7,Outdoor,Al Ain Oasis,Winter
23,409,Sharjah,7,Kids,Warner Bros World,Summer
18,678,Ajman,1,Landmark,Emirates Palace,Winter
30,66,Sharjah,7,Outdoor,Miracle Garden,Winter
83,2819,Sharjah,8,Shopping,Dubai Mall,Summer
17,55,Umm Al Qaiwain,6,Landmark,Hatta Heritage Village,Summer
42,3038,Umm Al Qaiwain,8,Shopping,Yas Mall,Winter
54,34,Umm Al Qaiwain,9,Historical,Umm Al Quwain Fort and Museum,Summer
63,179,Abu Dhabi,9,Historical,Sharjah Art Museum,Winter
57,395,Fujairah,4,Historical,The Dubai Opera,Winter
14,169,Abu Dhabi,9,Landmark,Dubai Frame,Winter
64,62,Umm Al Qaiwain,5,Kids,Miracle Garden,Summer
45,129,Dubai,9,Kids,Butterfly Garden,Winter
12,170,Abu Dhabi,5,Landmark,Dubai Fountain,Winter
20,25,Sharjah,3,Historical,Umm Al Quwain Fort and Museum,Winter
51,134,Abu Dhabi,9,Historical,Liwa Oasis,Summer
18,55,Ras Al Khaimah,4,Landmark,Al Bidya Mosque,Summer
6,2888,Fujairah,8,Kids,Global Village,Winter
79,57,Ras Al Khaimah,8,Historical,Al Ain Oasis,Winter
47,214,Dubai,8,Historical,Sharjah Art Museum,Winter
41,68,Abu Dhabi,8,Historical,Sharjah Museum of Islamic Civilization,Winter
72,113,Abu Dhabi,10,Historical,Al Jazirah Al Hamra,Winter
24,466,Ras Al Khaimah,4,Kids,Warner Bros World,Winter
26,49,Ajman,7,Historical,Sharjah Museum of Islamic Civilization,Summer
13,153,Dubai,5,Outdoor,Miracle Garden,Winter
65,390,Abu Dhabi,4,Landmark,Atlantis The Palm,Summer
28,517,Fujairah,2,Kids,Yas Waterworld,Winter
47,52,Ras Al Khaimah,4,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
56,171,Umm Al Qaiwain,5,Outdoor,Hatta Heritage Village,Winter
14,489,Abu Dhabi,3,Historical,Wadi Adventure,Winter
